Day;Time;Mem init;Mem firefox;CPU init;CPU firefox;CPU multithread;CPU multithread/0;CPU multithread/1;CPU multithread/2;CPU multithread/3;CPU multithread/4;CPU multithread/5;CPU multithread/6;CPU multithread/7;CPU multithread/8;CPU multithread/9;CPU multithread/10;CPU multithread/11;CPU multithread/12;CPU multithread/13;CPU multithread/14;CPU multithread/15;CPU multithread/16;CPU multithread/17;CPU multithread/18;CPU multithread/19
2015-04-04;02:30:33;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0
2015-04-04;02:30:35;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:36;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0
2015-04-04;02:30:37;41828;1098136;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;6,4;0,0;0,0;0,0;6,4;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:39;41828;1098136;0,0;0,0;0,0;38,7;90,3;0,0;77,4;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,7;0,0;0,0;0,0;0,0;0,0;77,4;32,2
2015-04-04;02:30:40;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:41;41828;1098136;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:43;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0
2015-04-04;02:30:44;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;6,4;0,0;0,0
2015-04-04;02:30:46;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0
2015-04-04;02:30:47;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
